type,n1,n2,n3,l1,l2,l3,crss
Prismatic,1,0,0,0,1,0,90
Prismatic,0.5,0.866025,0,0.866025,-0.5,0,90
Prismatic,-0.5,0.866025,0,-0.866025,-0.5,0,90
Basal,0,0,1,0.866025,-0.5,0,120
Basal,0,0,1,0,1,0,120
Basal,0,0,1,-0.866025,-0.5,0,120
Pyramidal,0.846046,0,0.53311,0.296076,-0.170939,0.939744,250
Pyramidal,0.423023,0.732697,0.53311,0.296076,0.170939,0.939744,250
Pyramidal,-0.423023,0.732697,0.53311,0,0.341879,0.939744,250
Pyramidal,-0.846046,0,0.53311,-0.296076,0.170939,0.939744,250
Pyramidal,-0.423023,-0.732697,0.53311,-0.296076,-0.170939,0.939744,250
Pyramidal,0.423023,-0.732697,0.53311,0,-0.341879,0.939744,250
